geo,Unemployment rate (2023),Workforce (2023),Amount (2023)

Belgium,5.50%,4879000,268345
Bulgaria,4.30%,3100000,133300
Czechia,2.60%,5200000,135200
Denmark,5.10%,3200000,163200
Germany,3.10%,44400000,1376400
Estonia,6.40%,694600,44454
Ireland,4.30%,2719100,116921
Greece,1.11%,4700000,52170
Spain,1.22%,24121000,294276
France,7.30%,30900000,2255700
Croatia,6.10%,1707000,104127
Italy,7.70%,25500000,1963500
Cyprus,5.80%,500000,29000
Latvia,6.50%,1000000,65000
Lithuania,6.90%,1500000,103500
Luxembourg,5.20%,300000,15600
Hungary,4.10%,4900000,200900
Malta,3.50%,305000,10675
Netherlands,3.60%,10100000,363600
Austria,5.10%,4483000,228633
Poland,2.80%,17800000,498400
Portugal,6.50%,5270000,342550
Romania,5.60%,8200000,459200
Slovenia,3.70%,1000000,37000
Slovakia,5.80%,2800000,162400
Finland,7.20%,2832000,203904
Sweden,7.70%,5800000,446600
Iceland,3.50%,220000,7700
Norway,3.60%,3000000,108000
Switzerland,4.10%,5548000,227468





